Execucao,Linha,Coluna,Menor Soma Global,IndiceI,IndiceJ,alturaMenorXlarguraMenor,Submatrizes Percorridas,Tempo Total (s),
3,3,3,-22,0,0,3x1,36,1e-06
3,61,61,-176515,0,23,60x32,3575881,0.03213
3,53,53,-127317,20,0,27x51,2047761,0.018409
3,32,32,-38938,4,2,26x26,278784,0.002559
3,75,75,-427790,21,16,49x55,8122500,0.072803
3,34,34,-46313,0,12,31x14,354025,0.00326
3,36,36,-58367,0,0,30x29,443556,0.004058
3,58,58,-188627,9,4,45x30,2927521,0.026454
3,19,19,-3439,7,2,9x5,36100,0.000353
3,68,68,-292209,8,15,59x50,5503716,0.049534
3,76,76,-356242,10,44,51x30,8561476,0.077426
3,70,70,-209499,47,4,23x66,6175225,0.056143
3,16,16,-4055,0,6,15x8,18496,0.000183
3,29,29,-16356,6,10,20x17,189225,0.001754
3,69,69,-242348,3,0,19x51,5832225,0.052952
3,59,59,-256693,13,1,38x45,3132900,0.028356
3,21,21,-6258,10,1,11x10,53361,0.000512
3,71,71,-454587,9,17,55x34,6533136,0.059292
3,44,44,-70042,17,3,22x34,980100,0.009073
3,62,62,-250979,0,0,25x51,3814209,0.034807
3,41,41,-80497,9,1,29x28,741321,0.006763
3,60,60,-158633,21,28,35x32,3348900,0.030367
3,64,64,-122979,56,10,7x30,4326400,0.039186
3,11,11,-910,0,0,10x7,4356,4.9e-05
3,31,31,-14896,15,4,14x9,246016,0.002296
3,12,12,-1957,5,1,5x11,6084,6.5e-05
3,37,37,-29113,9,1,28x19,494209,0.004545
3,42,42,-64769,7,6,35x22,815409,0.007491
3,52,52,-109523,19,0,20x48,1898884,0.017243
3,46,46,-89239,2,18,37x28,1168561,0.010669
3,77,77,-400077,21,2,45x32,9018009,0.081477
3,54,54,-127050,5,12,24x42,2205225,0.020241
3,48,48,-69315,6,5,10x40,1382976,0.012452
3,1,1,-1,0,0,1x1,1,1e-06
3,78,78,-667707,0,0,60x69,9492561,0.086186
3,57,57,-261123,2,6,53x39,2732409,0.024926
3,33,33,-26253,18,6,15x26,314721,0.00293
3,17,17,-4046,2,9,15x8,23409,0.000229
3,6,6,-159,1,0,5x3,441,6e-06
3,56,56,-159220,7,16,48x39,2547216,0.02317
3,50,50,-113440,31,0,19x28,1625625,0.014845
3,9,9,-413,2,1,4x5,2025,2.4e-05
3,8,8,-333,0,1,7x5,1296,1.6e-05
3,30,30,-23367,5,1,17x28,216225,0.002005
3,49,49,-89671,28,2,14x27,1500625,0.013657
3,5,5,-65,1,0,2x4,225,4e-06
3,63,63,-142194,0,14,17x42,4064256,0.036794
3,38,38,-33909,20,2,17x36,549081,0.005101
3,35,35,-32771,3,8,32x15,396900,0.003659
3,47,47,-69670,0,11,28x20,1272384,0.011603
3,26,26,-19376,2,0,20x25,123201,0.00115
3,73,73,-296417,11,0,39x35,7295401,0.065953
4,23,23,-17590,3,0,20x21,76176,0.001188
4,39,39,-42792,12,17,14x22,608400,0.009041
4,24,24,-14299,3,4,21x20,90000,0.000837
4,28,28,-13561,5,3,13x10,164836,0.001524
4,66,66,-344390,21,0,45x64,4888521,0.043754
4,67,67,-262577,6,8,60x29,5189284,0.046543
4,79,79,-406222,18,29,60x49,9985600,0.089362
4,10,10,-514,2,0,3x10,3025,3.4e-05
4,51,51,-153760,5,1,46x35,1758276,0.01588
4,40,40,-41468,0,33,37x7,672400,0.006119
4,80,80,-402170,30,14,49x57,10497600,0.093693
4,27,27,-8200,0,6,19x4,142884,0.001331
4,13,13,-1521,0,2,8x9,8281,8.6e-05
4,22,22,-5738,0,1,3x21,64009,0.000613
4,43,43,-52565,7,37,36x6,894916,0.008142
4,25,25,-10231,0,5,13x14,105625,0.000979
4,55,55,-129056,32,5,23x41,2371600,0.021529
4,14,14,-2317,2,0,12x9,11025,0.000114
4,72,72,-327809,34,20,38x52,6906384,0.062004
4,20,20,-3702,1,3,5x12,44100,0.000426
4,15,15,-2145,4,1,6x14,14400,0.000147
4,7,7,-284,4,0,2x7,784,1e-05
4,18,18,-4221,0,5,18x7,29241,0.000278
4,45,45,-100837,1,14,42x25,1071225,0.00966
4,4,4,-24,2,0,1x2,100,3e-06
4,2,2,-6,1,0,1x2,9,1e-06
4,74,74,-179177,12,1,12x48,7700625,0.068818
4,65,65,-149380,2,37,57x19,4601025,0.041193
4,3,3,-22,0,0,3x1,36,1e-06
4,61,61,-176515,0,23,60x32,3575881,0.032103
4,53,53,-127317,20,0,27x51,2047761,0.018357
4,32,32,-38938,4,2,26x26,278784,0.002562
4,75,75,-427790,21,16,49x55,8122500,0.072462
4,34,34,-46313,0,12,31x14,354025,0.003231
4,36,36,-58367,0,0,30x29,443556,0.004033
4,58,58,-188627,9,4,45x30,2927521,0.026295
4,19,19,-3439,7,2,9x5,36100,0.000345
4,68,68,-292209,8,15,59x50,5503716,0.049324
4,76,76,-356242,10,44,51x30,8561476,0.076574
4,70,70,-209499,47,4,23x66,6175225,0.055237
4,16,16,-4055,0,6,15x8,18496,0.000184
4,29,29,-16356,6,10,20x17,189225,0.001744
4,69,69,-242348,3,0,19x51,5832225,0.052184
4,59,59,-256693,13,1,38x45,3132900,0.028177
4,21,21,-6258,10,1,11x10,53361,0.000503
4,71,71,-454587,9,17,55x34,6533136,0.058424
4,44,44,-70042,17,3,22x34,980100,0.008865
4,62,62,-250979,0,0,25x51,3814209,0.034207
4,41,41,-80497,9,1,29x28,741321,0.00673
4,60,60,-158633,21,28,35x32,3348900,0.030113
4,64,64,-122979,56,10,7x30,4326400,0.038795
4,11,11,-910,0,0,10x7,4356,4.7e-05
4,31,31,-14896,15,4,14x9,246016,0.002262
4,12,12,-1957,5,1,5x11,6084,6.5e-05
4,37,37,-29113,9,1,28x19,494209,0.004506
4,42,42,-64769,7,6,35x22,815409,0.007376
4,52,52,-109523,19,0,20x48,1898884,0.017138
4,46,46,-89239,2,18,37x28,1168561,0.01054
4,77,77,-400077,21,2,45x32,9018009,0.080522
4,54,54,-127050,5,12,24x42,2205225,0.01991
4,48,48,-69315,6,5,10x40,1382976,0.012496
4,1,1,-1,0,0,1x1,1,1e-06
4,78,78,-667707,0,0,60x69,9492561,0.084703
4,57,57,-261123,2,6,53x39,2732409,0.024549
4,33,33,-26253,18,6,15x26,314721,0.002893
4,17,17,-4046,2,9,15x8,23409,0.000228
4,6,6,-159,1,0,5x3,441,6e-06
4,56,56,-159220,7,16,48x39,2547216,0.022967
4,50,50,-113440,31,0,19x28,1625625,0.014642
4,9,9,-413,2,1,4x5,2025,2.4e-05
4,8,8,-333,0,1,7x5,1296,1.5e-05
4,30,30,-23367,5,1,17x28,216225,0.001988
4,49,49,-89671,28,2,14x27,1500625,0.013577
4,5,5,-65,1,0,2x4,225,4e-06
4,63,63,-142194,0,14,17x42,4064256,0.036514
4,38,38,-33909,20,2,17x36,549081,0.005005
4,35,35,-32771,3,8,32x15,396900,0.00362
4,47,47,-69670,0,11,28x20,1272384,0.011636
4,26,26,-19376,2,0,20x25,123201,0.001142
4,73,73,-296417,11,0,39x35,7295401,0.065448
5,23,23,-17590,3,0,20x21,76176,0.00121
5,39,39,-42792,12,17,14x22,608400,0.009282
5,24,24,-14299,3,4,21x20,90000,0.001382
5,28,28,-13561,5,3,13x10,164836,0.001819
5,66,66,-344390,21,0,45x64,4888521,0.04379
5,67,67,-262577,6,8,60x29,5189284,0.046977
5,79,79,-406222,18,29,60x49,9985600,0.089771
5,10,10,-514,2,0,3x10,3025,4.1e-05
5,51,51,-153760,5,1,46x35,1758276,0.015815
5,40,40,-41468,0,33,37x7,672400,0.006071
5,80,80,-402170,30,14,49x57,10497600,0.094782
5,27,27,-8200,0,6,19x4,142884,0.001338
5,13,13,-1521,0,2,8x9,8281,8.7e-05
5,22,22,-5738,0,1,3x21,64009,0.000609
5,43,43,-52565,7,37,36x6,894916,0.008087
5,25,25,-10231,0,5,13x14,105625,0.001016
5,55,55,-129056,32,5,23x41,2371600,0.021267
5,14,14,-2317,2,0,12x9,11025,0.000137
5,72,72,-327809,34,20,38x52,6906384,0.061903
5,20,20,-3702,1,3,5x12,44100,0.000457
5,15,15,-2145,4,1,6x14,14400,0.000146
5,7,7,-284,4,0,2x7,784,1e-05
5,18,18,-4221,0,5,18x7,29241,0.000281
5,45,45,-100837,1,14,42x25,1071225,0.009668
5,4,4,-24,2,0,1x2,100,3e-06
5,2,2,-6,1,0,1x2,9,1e-06
5,74,74,-179177,12,1,12x48,7700625,0.06932
5,65,65,-149380,2,37,57x19,4601025,0.041569
5,3,3,-22,0,0,3x1,36,2e-06
5,61,61,-176515,0,23,60x32,3575881,0.032625
5,53,53,-127317,20,0,27x51,2047761,0.018346
5,32,32,-38938,4,2,26x26,278784,0.002565
5,75,75,-427790,21,16,49x55,8122500,0.072616
5,34,34,-46313,0,12,31x14,354025,0.003283
5,36,36,-58367,0,0,30x29,443556,0.004037
5,58,58,-188627,9,4,45x30,2927521,0.026459
5,19,19,-3439,7,2,9x5,36100,0.000375
5,68,68,-292209,8,15,59x50,5503716,0.049717
5,76,76,-356242,10,44,51x30,8561476,0.077049
5,70,70,-209499,47,4,23x66,6175225,0.0553
5,16,16,-4055,0,6,15x8,18496,0.000204
5,29,29,-16356,6,10,20x17,189225,0.001752
5,69,69,-242348,3,0,19x51,5832225,0.052431
5,59,59,-256693,13,1,38x45,3132900,0.028222
5,21,21,-6258,10,1,11x10,53361,0.000537
5,71,71,-454587,9,17,55x34,6533136,0.058622
5,44,44,-70042,17,3,22x34,980100,0.008821
5,62,62,-250979,0,0,25x51,3814209,0.034374
5,41,41,-80497,9,1,29x28,741321,0.006751
5,60,60,-158633,21,28,35x32,3348900,0.030654
5,64,64,-122979,56,10,7x30,4326400,0.038961
5,11,11,-910,0,0,10x7,4356,5.7e-05
5,31,31,-14896,15,4,14x9,246016,0.00227
5,12,12,-1957,5,1,5x11,6084,7.9e-05
5,37,37,-29113,9,1,28x19,494209,0.004515
5,42,42,-64769,7,6,35x22,815409,0.007382
5,52,52,-109523,19,0,20x48,1898884,0.017172
5,46,46,-89239,2,18,37x28,1168561,0.010781
5,77,77,-400077,21,2,45x32,9018009,0.081218
