Execucao,Linha,Coluna,Menor Soma Global,IndiceI,IndiceJ,alturaMenorXlarguraMenor,Submatrizes Percorridas,Tempo Total (s)
7,71,71,-454587,9,17,55x34,6533136,7.59136
7,44,44,-70042,17,3,22x34,980100,0.476752
7,62,62,-250979,0,0,25x51,3814209,3.44302
7,41,41,-80497,9,1,29x28,741321,0.314696
7,60,60,-158633,21,28,35x32,3348900,2.84126
7,64,64,-122979,56,10,7x30,4326400,4.12962
7,11,11,-910,0,0,10x7,4356,0.000256
7,31,31,-14896,15,4,14x9,246016,0.063824
7,12,12,-1957,5,1,5x11,6084,0.000336
7,37,37,-29113,9,1,28x19,494209,0.175216
7,42,42,-64769,7,6,35x22,815409,0.362752
7,52,52,-109523,19,0,20x48,1898884,1.24285
7,46,46,-89239,2,18,37x28,1168561,0.611904
7,77,77,-400077,21,2,45x32,9018009,12.0884
7,54,54,-127050,5,12,24x42,2205225,1.54392
7,48,48,-69315,6,5,10x40,1382976,0.782816
7,1,1,-1,0,0,1x1,1,0
7,78,78,-667707,0,0,60x69,9492561,13.0368
7,57,57,-261123,2,6,53x39,2732409,2.11821
7,33,33,-26253,18,6,15x26,314721,0.091232
7,17,17,-4046,2,9,15x8,23409,0.00208
7,6,6,-159,1,0,5x3,441,0
7,56,56,-159220,7,16,48x39,2547216,1.9057
7,50,50,-113440,31,0,19x28,1625625,0.992816
7,9,9,-413,2,1,4x5,2025,9.6e-05
7,8,8,-333,0,1,7x5,1296,4.8e-05
7,30,30,-23367,5,1,17x28,216225,0.052592
7,49,49,-89671,28,2,14x27,1500625,0.882992
7,5,5,-65,1,0,2x4,225,1.6e-05
7,63,63,-142194,0,14,17x42,4064256,3.80394
7,38,38,-33909,20,2,17x36,549081,0.204336
7,35,35,-32771,3,8,32x15,396900,0.127872
7,47,47,-69670,0,11,28x20,1272384,0.69784
7,26,26,-19376,2,0,20x25,123201,0.023296
7,73,73,-296417,11,0,39x35,7295401,8.88486
8,23,23,-17590,3,0,20x21,76176,0.011882
8,39,39,-42792,12,17,14x22,608400,0.234553
8,24,24,-14299,3,4,21x20,90000,0.014526
8,28,28,-13561,5,3,13x10,164836,0.035422
8,66,66,-344390,21,0,45x64,4888521,4.94032
8,67,67,-262577,6,8,60x29,5189284,5.40311
8,79,79,-406222,18,29,60x49,9985600,14.0719
8,10,10,-514,2,0,3x10,3025,0.000108
8,51,51,-153760,5,1,46x35,1758276,1.10884
8,40,40,-41468,0,33,37x7,672400,0.273056
8,80,80,-402170,30,14,49x57,10497600,15.1506
8,27,27,-8200,0,6,19x4,142884,0.029068
8,13,13,-1521,0,2,8x9,8281,0.000436
8,22,22,-5738,0,1,3x21,64009,0.008964
8,43,43,-52565,7,37,36x6,894916,0.415524
8,25,25,-10231,0,5,13x14,105625,0.01844
8,55,55,-129056,32,5,23x41,2371600,1.72263
8,14,14,-2317,2,0,12x9,11025,0.00068
8,72,72,-327809,34,20,38x52,6906384,8.19265
8,20,20,-3702,1,3,5x12,44100,0.005128
8,15,15,-2145,4,1,6x14,14400,0.001048
8,7,7,-284,4,0,2x7,784,1.6e-05
8,18,18,-4221,0,5,18x7,29241,0.002844
8,45,45,-100837,1,14,42x25,1071225,0.537424
8,4,4,-24,2,0,1x2,100,0
8,2,2,-6,1,0,1x2,9,0
8,74,74,-179177,12,1,12x48,7700625,9.60616
8,65,65,-149380,2,37,57x19,4601025,4.52312
8,3,3,-22,0,0,3x1,36,0
8,61,61,-176515,0,23,60x32,3575881,3.12913
8,53,53,-127317,20,0,27x51,2047761,1.38709
8,32,32,-38938,4,2,26x26,278784,0.076208
8,75,75,-427790,21,16,49x55,8122500,10.3931
8,34,34,-46313,0,12,31x14,354025,0.10772
8,36,36,-58367,0,0,30x29,443556,0.149176
8,58,58,-188627,9,4,45x30,2927521,2.33428
8,19,19,-3439,7,2,9x5,36100,0.003808
8,68,68,-292209,8,15,59x50,5503716,5.8813
8,76,76,-356242,10,44,51x30,8561476,11.2693
8,70,70,-209499,47,4,23x66,6175225,6.99656
8,16,16,-4055,0,6,15x8,18496,0.001432
8,29,29,-16356,6,10,20x17,189225,0.042944
8,69,69,-242348,3,0,19x51,5832225,6.41926
8,59,59,-256693,13,1,38x45,3132900,2.57871
8,21,21,-6258,10,1,11x10,53361,0.00688
8,71,71,-454587,9,17,55x34,6533136,7.57998
8,44,44,-70042,17,3,22x34,980100,0.475664
8,62,62,-250979,0,0,25x51,3814209,3.43587
8,41,41,-80497,9,1,29x28,741321,0.316048
8,60,60,-158633,21,28,35x32,3348900,2.8369
8,64,64,-122979,56,10,7x30,4326400,4.12982
8,11,11,-910,0,0,10x7,4356,0.000208
8,31,31,-14896,15,4,14x9,246016,0.06352
8,12,12,-1957,5,1,5x11,6084,0.000304
8,37,37,-29113,9,1,28x19,494209,0.175376
8,42,42,-64769,7,6,35x22,815409,0.362608
8,52,52,-109523,19,0,20x48,1898884,1.24064
8,46,46,-89239,2,18,37x28,1168561,0.613248
8,77,77,-400077,21,2,45x32,9018009,12.0896
8,54,54,-127050,5,12,24x42,2205225,1.54661
8,48,48,-69315,6,5,10x40,1382976,0.7824
8,1,1,-1,0,0,1x1,1,0
8,78,78,-667707,0,0,60x69,9492561,13.0575
8,57,57,-261123,2,6,53x39,2732409,2.11301
8,33,33,-26253,18,6,15x26,314721,0.091008
8,17,17,-4046,2,9,15x8,23409,0.002048
8,6,6,-159,1,0,5x3,441,1.6e-05
8,56,56,-159220,7,16,48x39,2547216,1.90416
8,50,50,-113440,31,0,19x28,1625625,0.989664
8,9,9,-413,2,1,4x5,2025,8e-05
8,8,8,-333,0,1,7x5,1296,4.8e-05
8,30,30,-23367,5,1,17x28,216225,0.053088
8,49,49,-89671,28,2,14x27,1500625,0.881712
8,5,5,-65,1,0,2x4,225,0
8,63,63,-142194,0,14,17x42,4064256,3.7675
8,38,38,-33909,20,2,17x36,549081,0.204192
8,35,35,-32771,3,8,32x15,396900,0.127344
8,47,47,-69670,0,11,28x20,1272384,0.693248
8,26,26,-19376,2,0,20x25,123201,0.023648
8,73,73,-296417,11,0,39x35,7295401,8.86186
9,23,23,-17590,3,0,20x21,76176,0.01681
9,39,39,-42792,12,17,14x22,608400,0.290589
9,24,24,-14299,3,4,21x20,90000,0.014751
9,28,28,-13561,5,3,13x10,164836,0.035724
9,66,66,-344390,21,0,45x64,4888521,4.9353
9,67,67,-262577,6,8,60x29,5189284,5.38735
9,79,79,-406222,18,29,60x49,9985600,14.1923
9,10,10,-514,2,0,3x10,3025,0.000108
9,51,51,-153760,5,1,46x35,1758276,1.11262
9,40,40,-41468,0,33,37x7,672400,0.27515
9,80,80,-402170,30,14,49x57,10497600,15.1548
9,27,27,-8200,0,6,19x4,142884,0.02894
9,13,13,-1521,0,2,8x9,8281,0.000492
9,22,22,-5738,0,1,3x21,64009,0.009012
9,43,43,-52565,7,37,36x6,894916,0.415444
9,25,25,-10231,0,5,13x14,105625,0.01852
9,55,55,-129056,32,5,23x41,2371600,1.71636
9,14,14,-2317,2,0,12x9,11025,0.000704
9,72,72,-327809,34,20,38x52,6906384,8.17782
9,20,20,-3702,1,3,5x12,44100,0.005324
9,15,15,-2145,4,1,6x14,14400,0.001
9,7,7,-284,4,0,2x7,784,1.6e-05
9,18,18,-4221,0,5,18x7,29241,0.003004
9,45,45,-100837,1,14,42x25,1071225,0.541276
9,4,4,-24,2,0,1x2,100,0
9,2,2,-6,1,0,1x2,9,4e-06
9,74,74,-179177,12,1,12x48,7700625,9.60344
9,65,65,-149380,2,37,57x19,4601025,4.51797
9,3,3,-22,0,0,3x1,36,0
9,61,61,-176515,0,23,60x32,3575881,3.12633
9,53,53,-127317,20,0,27x51,2047761,1.38642
9,32,32,-38938,4,2,26x26,278784,0.076264
9,75,75,-427790,21,16,49x55,8122500,10.373
9,34,34,-46313,0,12,31x14,354025,0.107288
9,36,36,-58367,0,0,30x29,443556,0.148464
9,58,58,-188627,9,4,45x30,2927521,2.32951
9,19,19,-3439,7,2,9x5,36100,0.003784
9,68,68,-292209,8,15,59x50,5503716,5.88618
9,76,76,-356242,10,44,51x30,8561476,11.1951
9,70,70,-209499,47,4,23x66,6175225,6.94252
9,16,16,-4055,0,6,15x8,18496,0.00152
9,29,29,-16356,6,10,20x17,189225,0.042936
9,69,69,-242348,3,0,19x51,5832225,6.42154
9,59,59,-256693,13,1,38x45,3132900,2.57438
9,21,21,-6258,10,1,11x10,53361,0.006976
9,71,71,-454587,9,17,55x34,6533136,7.64225
9,44,44,-70042,17,3,22x34,980100,0.480112
9,62,62,-250979,0,0,25x51,3814209,3.48954
9,41,41,-80497,9,1,29x28,741321,0.317416
9,60,60,-158633,21,28,35x32,3348900,2.86233
9,64,64,-122979,56,10,7x30,4326400,4.14025
9,11,11,-910,0,0,10x7,4356,0.000176
9,31,31,-14896,15,4,14x9,246016,0.063152
9,12,12,-1957,5,1,5x11,6084,0.000288
9,37,37,-29113,9,1,28x19,494209,0.174832
9,42,42,-64769,7,6,35x22,815409,0.363504
9,52,52,-109523,19,0,20x48,1898884,1.24389
9,46,46,-89239,2,18,37x28,1168561,0.615872
9,77,77,-400077,21,2,45x32,9018009,12.1851
9,54,54,-127050,5,12,24x42,2205225,1.54242
9,48,48,-69315,6,5,10x40,1382976,0.783216
9,1,1,-1,0,0,1x1,1,0
9,78,78,-667707,0,0,60x69,9492561,13.0256
9,57,57,-261123,2,6,53x39,2732409,2.10653
9,33,33,-26253,18,6,15x26,314721,0.0908
9,17,17,-4046,2,9,15x8,23409,0.002032
9,6,6,-159,1,0,5x3,441,0
9,56,56,-159220,7,16,48x39,2547216,1.89882
9,50,50,-113440,31,0,19x28,1625625,0.987328
9,9,9,-413,2,1,4x5,2025,8e-05
9,8,8,-333,0,1,7x5,1296,3.2e-05
9,30,30,-23367,5,1,17x28,216225,0.052176
9,49,49,-89671,28,2,14x27,1500625,0.876672
9,5,5,-65,1,0,2x4,225,1.6e-05
9,63,63,-142194,0,14,17x42,4064256,3.76642
9,38,38,-33909,20,2,17x36,549081,0.203168
9,35,35,-32771,3,8,32x15,396900,0.12664
9,47,47,-69670,0,11,28x20,1272384,0.6952
9,26,26,-19376,2,0,20x25,123201,0.023168
9,73,73,-296417,11,0,39x35,7295401,8.87395
10,23,23,-17590,3,0,20x21,76176,0.015035
10,39,39,-42792,12,17,14x22,608400,0.236172
10,24,24,-14299,3,4,21x20,90000,0.014687
10,28,28,-13561,5,3,13x10,164836,0.035227
10,66,66,-344390,21,0,45x64,4888521,4.94947
10,67,67,-262577,6,8,60x29,5189284,5.37664
10,79,79,-406222,18,29,60x49,9985600,14.0453
10,10,10,-514,2,0,3x10,3025,0.000128
10,51,51,-153760,5,1,46x35,1758276,1.1095
10,40,40,-41468,0,33,37x7,672400,0.284136
10,80,80,-402170,30,14,49x57,10497600,15.1001
10,27,27,-8200,0,6,19x4,142884,0.0288
10,13,13,-1521,0,2,8x9,8281,0.00046
10,22,22,-5738,0,1,3x21,64009,0.008952
10,43,43,-52565,7,37,36x6,894916,0.414976
10,25,25,-10231,0,5,13x14,105625,0.01868
10,55,55,-129056,32,5,23x41,2371600,1.71839
10,14,14,-2317,2,0,12x9,11025,0.000688
10,72,72,-327809,34,20,38x52,6906384,8.17807
10,20,20,-3702,1,3,5x12,44100,0.005428
10,15,15,-2145,4,1,6x14,14400,0.001016
10,7,7,-284,4,0,2x7,784,2e-05
10,18,18,-4221,0,5,18x7,29241,0.003148
10,45,45,-100837,1,14,42x25,1071225,0.539956
10,4,4,-24,2,0,1x2,100,0
10,2,2,-6,1,0,1x2,9,4e-06
10,74,74,-179177,12,1,12x48,7700625,9.58936
10,65,65,-149380,2,37,57x19,4601025,4.52123
10,3,3,-22,0,0,3x1,36,0
10,61,61,-176515,0,23,60x32,3575881,3.12575
10,53,53,-127317,20,0,27x51,2047761,1.38454
10,32,32,-38938,4,2,26x26,278784,0.076368
10,75,75,-427790,21,16,49x55,8122500,10.3614
10,34,34,-46313,0,12,31x14,354025,0.108392
10,36,36,-58367,0,0,30x29,443556,0.150296
10,58,58,-188627,9,4,45x30,2927521,2.33579
10,19,19,-3439,7,2,9x5,36100,0.003896
10,68,68,-292209,8,15,59x50,5503716,5.86681
10,76,76,-356242,10,44,51x30,8561476,11.2042
10,70,70,-209499,47,4,23x66,6175225,7.05676
10,16,16,-4055,0,6,15x8,18496,0.001616
10,29,29,-16356,6,10,20x17,189225,0.043368
10,69,69,-242348,3,0,19x51,5832225,6.44757
10,59,59,-256693,13,1,38x45,3132900,2.57994
10,21,21,-6258,10,1,11x10,53361,0.007048
10,71,71,-454587,9,17,55x34,6533136,7.5481
10,44,44,-70042,17,3,22x34,980100,0.472704
10,62,62,-250979,0,0,25x51,3814209,3.43722
10,41,41,-80497,9,1,29x28,741321,0.31536
10,60,60,-158633,21,28,35x32,3348900,2.84731
10,64,64,-122979,56,10,7x30,4326400,4.13003
10,11,11,-910,0,0,10x7,4356,0.000192
10,31,31,-14896,15,4,14x9,246016,0.063712
10,12,12,-1957,5,1,5x11,6084,0.000336
10,37,37,-29113,9,1,28x19,494209,0.175568
10,42,42,-64769,7,6,35x22,815409,0.363264
10,52,52,-109523,19,0,20x48,1898884,1.24534
10,46,46,-89239,2,18,37x28,1168561,0.615792
10,77,77,-400077,21,2,45x32,9018009,12.0946
10,54,54,-127050,5,12,24x42,2205225,1.54578
10,48,48,-69315,6,5,10x40,1382976,0.784
10,1,1,-1,0,0,1x1,1,0
10,78,78,-667707,0,0,60x69,9492561,13.0394
10,57,57,-261123,2,6,53x39,2732409,2.11042
10,33,33,-26253,18,6,15x26,314721,0.091952
10,17,17,-4046,2,9,15x8,23409,0.002144
10,6,6,-159,1,0,5x3,441,1.6e-05
10,56,56,-159220,7,16,48x39,2547216,1.90638
10,50,50,-113440,31,0,19x28,1625625,0.993024
10,9,9,-413,2,1,4x5,2025,6.4e-05
10,8,8,-333,0,1,7x5,1296,3.2e-05
10,30,30,-23367,5,1,17x28,216225,0.052688
10,49,49,-89671,28,2,14x27,1500625,0.877488
10,5,5,-65,1,0,2x4,225,0
10,63,63,-142194,0,14,17x42,4064256,3.76477
10,38,38,-33909,20,2,17x36,549081,0.205216
10,35,35,-32771,3,8,32x15,396900,0.128
10,47,47,-69670,0,11,28x20,1272384,0.694416
10,26,26,-19376,2,0,20x25,123201,0.0236
10,73,73,-296417,11,0,39x35,7295401,8.86565
